id,did,value,carid,date,time
838582,araç ekledi,200,333,22-12-25,00:30
838582,araç eklendi,1111 TL,1111,22-12-25,00:35
838582,araç eklendi,2222 TL,2222,22-12-25,00:36
838582,kiralama tamamlandı,12-12-30-21-12-30,103,22-12-25,00:40
838582,kiralama tamamlandı,24-12-25-28-12-25,102,22-12-25,20:12
838582,iade tarihi güncellendi,26-12-25,102,22-12-25,20:14
775950,kiralama tamamlandı,01-01-26-10-01-26,1111,23-12-25,21:06
775950,araç eklendi,12 TL,10,23-12-25,21:13
775950,kiralama tamamlandı,10-10-30-20-10-30,205,23-12-25,21:44
650699,araç eklendi,5000 TL,123,06-01-26,11:29
650699,kiralama tamamlandı,12-01-26-14-01-26,222,06-01-26,11:30
